"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-01",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","79",",,0","45",",,0","51",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-02",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","91",",,0","49",",,0","64",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-03",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","73",",,0","46",",,0","49",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-04",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","76",",,0","46",",,0","49",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-05",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","74",",,0","46",",,0","49",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-06",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","71",",,0","44",",,0","44",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-07",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","63",",,0","38",",,0","48",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-08",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","64",",,0","31",",,0","31",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-09",,,,,,,"0.17",",,0,0800","0.0","P,,0,","0.0","P,,0,","66",",,0","31",",,0","50",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-10",,,,,,,"0.02",",,0,0800","0.0","P,,0,","0.0","P,,0,","64",",,0","37",",,0","37",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-11",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","64",",,0","37",",,0","45",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-12",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","65",",,0","35",",,0","42",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-13",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","61",",,0","34",",,0","34",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-14",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","66",",,0","34",",,0","35",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-15",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","69",",,0","36",",,0","38",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-16",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","71",",,0","35",",,0","37",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-17",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","75",",,0","36",",,0","42",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-18",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","73",",,0","36",",,0","40",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-19",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","74",",,0","37",",,0","44",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-20",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","71",",,0","45",",,0","45",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-21",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","71",",,0","35",",,0","36",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-10-22",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","68",",,0","34",",,0","36",",,0,0800",,,,,,,,,,,,
