PRISM Time Series Data
Location:  Lat: 44.0422   Lon: -116.9253   Elev: 662m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1997-10-01 - 2018-09-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Jan-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1997-10-01,0.00,7.4,17.7,28.0,6.6,1.84,25.76
1997-10-02,0.00,9.9,21.9,33.9,4.6,2.28,45.28
1997-10-03,0.00,7.1,14.9,22.7,3.2,2.34,19.74
1997-10-04,0.00,5.7,15.2,24.8,4.2,1.42,22.86
1997-10-05,0.00,6.0,14.9,23.7,1.7,1.82,22.05
1997-10-06,0.00,4.8,12.4,19.9,-0.7,3.13,18.41
1997-10-07,0.00,3.9,10.4,16.8,-0.0,2.07,12.92
1997-10-08,0.00,-1.1,7.5,16.1,-2.3,1.22,12.65
1997-10-09,4.64,-1.4,8.5,18.4,1.1,0.65,15.43
1997-10-10,0.54,2.8,10.5,18.2,3.1,0.48,14.33
1997-10-11,0.00,2.1,9.0,15.9,2.3,0.38,9.66
1997-10-12,0.00,0.8,8.1,15.4,-0.3,0.75,10.91
1997-10-13,0.00,-0.3,7.0,14.3,-0.8,0.57,10.62
1997-10-14,0.00,-0.6,8.8,18.3,0.7,0.46,13.41
1997-10-15,0.00,0.5,10.5,20.5,1.7,0.47,16.23
1997-10-16,0.00,0.7,10.9,21.1,1.9,0.44,16.68
1997-10-17,0.00,1.2,11.9,22.6,1.9,0.41,18.96
1997-10-18,0.00,1.9,12.1,22.3,2.6,0.69,19.07
1997-10-19,0.00,4.5,12.9,21.3,2.0,1.60,17.08
1997-10-20,0.00,0.8,10.4,20.1,2.1,0.68,15.89
1997-10-21,0.00,0.7,10.5,20.3,1.2,0.91,16.20
1997-10-22,0.00,-0.1,9.5,19.1,0.8,0.53,14.41
1997-10-23,0.00,1.5,10.8,20.0,0.8,0.84,18.08
1997-10-24,0.00,2.0,8.3,14.6,-0.1,1.39,11.30
1997-10-25,0.00,-0.7,6.8,14.3,-3.2,1.32,11.46
1997-10-26,0.00,-3.9,4.8,13.5,-4.8,0.87,10.92
1997-10-27,0.00,-4.7,3.9,12.4,-4.7,0.75,10.11
1997-10-28,0.00,-3.2,6.1,15.5,-3.5,0.85,12.10
1997-10-29,1.72,1.3,6.7,12.0,-0.6,1.12,7.79
